epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,10756.2,0.91265,0.55793,0.99784,0.91253,0.8782,0.94048,0.70013,0.91799,0.52499,1.00558,0.004258,0.004258,0.004258
31,11102.6,0.91088,0.55709,0.99847,0.91671,0.88066,0.94171,0.70239,0.91707,0.52017,1.0084,0.00406,0.00406,0.00406
32,11449.2,0.90557,0.55056,0.99503,0.90755,0.88683,0.94095,0.70028,0.91716,0.52312,1.00844,0.003862,0.003862,0.003862
33,11793.8,0.89739,0.54357,0.99185,0.90873,0.88287,0.94008,0.70137,0.91397,0.52617,1.00489,0.003664,0.003664,0.003664
34,12139.9,0.89368,0.54026,0.98984,0.9097,0.882,0.94092,0.70448,0.91039,0.51965,1.00318,0.003466,0.003466,0.003466
35,12486.1,0.88702,0.53486,0.98887,0.90962,0.88435,0.94073,0.70578,0.90692,0.51945,1.00051,0.003268,0.003268,0.003268
36,12830.4,0.88376,0.53107,0.98642,0.91391,0.88225,0.941,0.70666,0.90439,0.51906,0.99959,0.00307,0.00307,0.00307
37,13176.4,0.87418,0.52293,0.98367,0.91385,0.88243,0.94081,0.70709,0.90344,0.51671,0.99945,0.002872,0.002872,0.002872
38,13519.6,0.86895,0.5171,0.97937,0.9099,0.88979,0.94214,0.70981,0.90456,0.51668,0.99994,0.002674,0.002674,0.002674
39,13862.5,0.86492,0.51144,0.9786,0.91172,0.88754,0.94101,0.70907,0.90209,0.51664,0.99929,0.002476,0.002476,0.002476
40,14208.6,0.85746,0.51016,0.97624,0.91497,0.88607,0.9421,0.70952,0.89993,0.51692,0.99684,0.002278,0.002278,0.002278
41,14545.4,0.83179,0.44976,0.96341,0.9097,0.89069,0.94146,0.71109,0.89622,0.51578,0.99636,0.00208,0.00208,0.00208
42,14877.8,0.81961,0.44057,0.95634,0.91387,0.88625,0.9421,0.71216,0.89317,0.5141,0.99485,0.001882,0.001882,0.001882
43,15207.9,0.81078,0.43552,0.9554,0.91179,0.88863,0.94203,0.71348,0.89265,0.51446,0.99609,0.001684,0.001684,0.001684
44,15540.2,0.80037,0.42736,0.9503,0.9128,0.88794,0.94114,0.71284,0.89219,0.51714,0.99749,0.001486,0.001486,0.001486
45,15867.8,0.79435,0.42089,0.94835,0.91367,0.88681,0.94112,0.71345,0.89295,0.5193,0.99851,0.001288,0.001288,0.001288
46,16194.2,0.7851,0.41697,0.94451,0.91186,0.88732,0.94065,0.71316,0.8927,0.52171,0.99899,0.00109,0.00109,0.00109
47,16520.5,0.7771,0.41193,0.94111,0.91158,0.88814,0.94047,0.71394,0.8925,0.52287,0.99927,0.000892,0.000892,0.000892
48,16849.6,0.7721,0.40665,0.93961,0.91142,0.8888,0.94051,0.71397,0.89206,0.52367,0.99942,0.000694,0.000694,0.000694
49,17186.4,0.76351,0.4007,0.93636,0.91158,0.8888,0.9406,0.71395,0.89232,0.52465,1.00021,0.000496,0.000496,0.000496
50,17516.6,0.75921,0.39908,0.93534,0.91256,0.88878,0.94054,0.71422,0.8922,0.52485,1.00049,0.000298,0.000298,0.000298
