epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.727,1.41974,1.86208,1.2535,0.83044,0.77405,0.8378,0.50391,1.24827,1.15661,1.18403,0.00333033,0.00333033,0.00333033
2,741.671,1.23196,1.11873,1.13731,0.83559,0.80599,0.85948,0.53915,1.18427,0.9443,1.1642,0.00653173,0.00653173,0.00653173
3,1091.19,1.25457,1.0373,1.15145,0.8057,0.77593,0.82888,0.51811,1.25971,0.98407,1.22861,0.00960112,0.00960112,0.00960112
4,1436.68,1.2529,0.97075,1.15626,0.85539,0.79201,0.86122,0.558,1.19564,0.89513,1.18759,0.009406,0.009406,0.009406
5,1784.43,1.19802,0.87159,1.13432,0.86398,0.81313,0.88393,0.58778,1.16388,0.83999,1.16392,0.009208,0.009208,0.009208
6,2131.48,1.16184,0.82078,1.11618,0.87501,0.8296,0.89081,0.60475,1.11028,0.75565,1.12431,0.00901,0.00901,0.00901
7,2489.52,1.13873,0.79299,1.10383,0.8845,0.83889,0.90201,0.61889,1.08772,0.72991,1.10439,0.008812,0.008812,0.008812
8,2852.11,1.11195,0.761,1.09316,0.88508,0.84855,0.91499,0.63182,1.07235,0.69598,1.10299,0.008614,0.008614,0.008614
9,3212,1.09087,0.73475,1.08232,0.88066,0.85845,0.91811,0.62899,1.07546,0.66899,1.10098,0.008416,0.008416,0.008416
10,3573.19,1.07594,0.72194,1.07357,0.88874,0.85653,0.92182,0.64858,1.04052,0.65581,1.08451,0.008218,0.008218,0.008218
11,3935.91,1.06606,0.70399,1.07105,0.88742,0.86213,0.91877,0.64802,1.02983,0.64095,1.07461,0.00802,0.00802,0.00802
12,4299.55,1.04874,0.68678,1.06086,0.8948,0.86847,0.92655,0.65715,1.01518,0.62687,1.0695,0.007822,0.007822,0.007822
13,4660.92,1.03828,0.67544,1.05832,0.89621,0.87163,0.92815,0.66258,1.00951,0.60938,1.06529,0.007624,0.007624,0.007624
14,5023.36,1.02986,0.66519,1.05167,0.90093,0.863,0.92825,0.66541,1.00049,0.59725,1.05766,0.007426,0.007426,0.007426
15,5383.29,1.01122,0.64883,1.04521,0.8977,0.86874,0.92948,0.66162,0.99924,0.59163,1.05013,0.007228,0.007228,0.007228
16,5743.25,1.00813,0.64524,1.04212,0.89925,0.86702,0.92877,0.66479,0.98807,0.59084,1.04479,0.00703,0.00703,0.00703
17,6105.02,1.00357,0.63915,1.04071,0.89888,0.86785,0.92835,0.66808,0.9824,0.59051,1.04357,0.006832,0.006832,0.006832
18,6467.32,0.99366,0.63037,1.03472,0.9027,0.87262,0.93347,0.67671,0.96875,0.57048,1.03593,0.006634,0.006634,0.006634
19,6832.43,0.98468,0.625,1.03077,0.90559,0.87208,0.93279,0.67968,0.96152,0.56978,1.03178,0.006436,0.006436,0.006436
20,7195.08,0.97662,0.61992,1.02688,0.89822,0.88329,0.93387,0.68071,0.96027,0.5647,1.03237,0.006238,0.006238,0.006238
21,7555.16,0.96946,0.60981,1.02607,0.90732,0.87399,0.93481,0.68358,0.95711,0.56252,1.02615,0.00604,0.00604,0.00604
22,7916.7,0.96136,0.60298,1.02082,0.89861,0.88454,0.93515,0.6866,0.95048,0.55448,1.02448,0.005842,0.005842,0.005842
23,8277.82,0.95618,0.59517,1.01849,0.89586,0.88503,0.93586,0.68976,0.93983,0.54537,1.01945,0.005644,0.005644,0.005644
24,8638.85,0.95211,0.59105,1.01578,0.90679,0.88,0.93795,0.69302,0.94137,0.54497,1.01824,0.005446,0.005446,0.005446
25,9000.27,0.95022,0.58965,1.01573,0.9023,0.88346,0.93825,0.69246,0.93484,0.54277,1.01619,0.005248,0.005248,0.005248
26,9362.13,0.94298,0.58405,1.01322,0.91308,0.87673,0.93853,0.69549,0.9286,0.53744,1.01295,0.00505,0.00505,0.00505
27,9714.8,0.93366,0.57667,1.00985,0.91001,0.87835,0.9393,0.69695,0.92774,0.53745,1.01418,0.004852,0.004852,0.004852
28,10060.2,0.92335,0.56891,1.00288,0.91256,0.87796,0.93938,0.69797,0.92438,0.53444,1.01174,0.004654,0.004654,0.004654
29,10407.5,0.91913,0.56471,1.0026,0.91336,0.88038,0.9407,0.70073,0.92074,0.52587,1.00853,0.004456,0.004456,0.004456
